"Item Code","Item Name","Brand","Category/Item Type","Unit","Stock","Alert Quantity","Sales Price","Tax","Status"
"IT020079","LUMINOUS ICON 1600 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","17,500","GST 18%(18%)","Active"
"IT020078","LUMINOUS ICON 1100 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","14,500","GST 18%(18%)","Active"
"IT020077","LUMINOUS ECO VCOLT NEO 1050 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","9,690","GST 18%(18%)","Active"
"IT020076","LUMINOUS ECO VOLT NEO 950 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","8,590","GST 18%(18%)","Active"
"IT020075","LUMINOUS ECO VOLTNEO 850 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","7,540","GST 18%(18%)","Active"
"IT020074","LUMINOUS ECO VOLT NEO 750 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","7,180","GST 18%(18%)","Active"
"IT020073","LUMINOUS ECO VOLT NEO 700 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","6,600","GST 18%(18%)","Active"
"IT020072","AMARON BLACK BL1300LMFHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","12,262","GST 28%(28%)","Active"
"IT020071","AMARON BLACK BL1000LMRHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,935","GST 28%(28%)","Active"
"IT020070","AMARON BLACK BL1000LMFHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,935","GST 28%(28%)","Active"
"IT020069","AMARON BLACK BL900LMRHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,202","GST 28%(28%)","Active"
"IT020068","AMARON BLACK BL900LMFHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,202","GST 28%(28%)","Active"
"IT020067","AMARON BLACK BL800LMRHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,565","GST 28%(28%)","Active"
"IT020066","AMARON BLACK BL800LMFHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,565","GST 28%(28%)","Active"
"IT020065","AMARON BLACK  BL600LMRHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","6,121","GST 28%(28%)","Active"
"IT020064","AMARON BLACK BL600LMFHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","6,121","GST 28%(28%)","Active"
"IT020063","AMARON BLACK BL700LMRHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","0","5","7,438","GST 28%(28%)","Active"
"IT020062","AMARON BLACK BL700LMFHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,431","GST 28%(28%)","Active"
"IT020061","AMARON BLACK BL400LMRHSN:850710005SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","4,308","GST 28%(28%)","Active"
"IT020060","AMARON BLACK BL400LMFHSN:85071000SKU:","AMARON","POWER ZONE MC[ITEM]","PCS","100","5","4,308","GST 28%(28%)","Active"
"IT020059","AMARON BLACK BL300RMFHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","3,642","GST 28%(28%)","Active"
"IT020058","AMARON HI-WAY HCX20H52RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","18,572","GST 28%(28%)","Active"
"IT020057","AMARON HI-WAY HC180D04RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","18,079","GST 28%(28%)","Active"
"IT020056","AMARON HI-WAY NTX00D04RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","15,945","GST 28%(28%)","Active"
"IT020055","AMARON HI-WAY NT800F51RHSN:85071000SKU:","","AMARON AUTOMOBILE[ITEM]","PCS","100","5","12,290","GST 28%(28%)","Active"
"IT020054","AMARON HI-WAY NT800D04RHSN:SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","13,938","GST 28%(28%)","Active"
"IT020053","AMARON HI-WAY NT700E41RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","9,880","GST 28%(28%)","Active"
"IT020052","AMARON HI-WAY NT650H29RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,191","GST 28%(28%)","Active"
"IT020051","AMARON HI-WAY HC620D31RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,751","GST 28%(28%)","Active"
"IT020050","AMARON HARVEST NT600H29RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,111","GST 28%(28%)","Active"
"IT020049","AMARON HARVEST  NT600H29LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,111","GST 28%(28%)","Active"
"IT020048","AMARON GO 00135D31RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","9,209","GST 28%(28%)","Active"
"IT020047","AMARON GO 00105D31RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,414","GST 28%(28%)","Active"
"IT020046","AMARON GO 00105D31LHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,414","GST 28%(28%)","Active"
"IT020045","AMARON GO 00105D26RHSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","8,586","GST 28%(28%)","Active"
"IT020044","AMARON GO 565106590[DIN65]HSN:85071000SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","100","5","7,886","GST 28%(28%)","Active"
